02 Token Inválido
28 Token Inválido
26 Token Inválido
2024-02-11 12:00:10.480910 - 22 Token Inválido
2024-06-09 09:00:11.245172 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-06-09 12:00:05.623855 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-06-09 18:00:04.917882 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-06-09 21:00:04.837408 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-06-10 09:00:11.103444 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-06-10 12:00:05.539348 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-06-10 18:00:10.231098 - \\192.42.103.17\propaganda\publicador_facebook\img\img20.png não foi encontrada
2024-06-10 21:00:05.291253 - \\192.42.103.17\propaganda\publicador_facebook\img\img02.png não foi encontrada
2024-06-11 09:00:12.873343 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-06-11 12:00:04.327532 - \\192.42.103.17\propaganda\publicador_facebook\img\img21.png não foi encontrada
2024-06-11 18:00:04.825293 - \\192.42.103.17\propaganda\publicador_facebook\img\img03.png não foi encontrada
2024-06-11 21:00:05.344650 - \\192.42.103.17\propaganda\publicador_facebook\img\img13.png não foi encontrada
2024-06-12 09:00:11.593068 - \\192.42.103.17\propaganda\publicador_facebook\img\img22.png não foi encontrada
2024-06-12 12:00:04.675689 - \\192.42.103.17\propaganda\publicador_facebook\img\img04.png não foi encontrada
2024-06-12 18:00:06.378300 - \\192.42.103.17\propaganda\publicador_facebook\img\img14.png não foi encontrada
2024-06-12 21:00:06.114742 - \\192.42.103.17\propaganda\publicador_facebook\img\img23.png não foi encontrada
2024-06-13 09:00:11.263446 - \\192.42.103.17\propaganda\publicador_facebook\img\img05.png não foi encontrada
2024-06-13 12:00:05.625273 - \\192.42.103.17\propaganda\publicador_facebook\img\img15.png não foi encontrada
2024-06-13 18:00:05.577957 - \\192.42.103.17\propaganda\publicador_facebook\img\img24.png não foi encontrada
